Date_class,retweet_count,favorite_count,followers_count,predict_class_label
0,254,814,43,4
4,0,2,0.136,2
3,1,0,0.0364,4
1,14,0,1.43,4
2,685,0,0.435,1
3,7,0,0.435,1
1,287,1537,6.82,2
3,1,4,1.43,4
2,1094,0,0.435,1
0,18,0,0.435,3
3,50,0,6.82,1
0,18,0,0.435,3
2,10,44,1.43,4
0,2576,0,6.82,4
3,13,0,0.0364,4
3,4302,0,0.435,1
0,113,0,43,2
1,30,139,6.82,4
2,16,0,1.43,1
2,1538,2184,43,2
2,211,602,43,2
4,0,10,0.0364,4
3,53,246,1.43,3
0,0,2,0.0364,4
3,10,65,0.136,2
3,7,16,0.136,2
0,125,425,0.435,4
3,3,37,1.43,4
4,1,1,0.136,4
4,2733,4972,43,2
4,5,7,0.136,4
3,1,0,0.435,1
3,951,0,0.435,4
3,1293,880,43,2
4,18597,66277,43,4
3,367,1247,6.82,2
0,66,178,1.43,2
4,14,38,0.136,4
3,6181,0,0.0364,4
2,25,0,0.435,4
3,193,0,0.435,3
3,110,0,0.435,4
3,124,0,6.82,1
3,0,1,0.0364,2
3,13,52,0.136,4
4,2,4,0.0364,2
1,9,28,0.435,1
0,4,20,0.0364,4
0,3314,0,0.435,1
1,3,0,1.43,4
3,580,0,1.43,1
4,1,11,0.136,3
3,19,0,0.435,1
4,171,480,43,2
1,1,5,1.43,2
0,11,0,6.82,1
2,5,0,0.435,4
3,4087,37633,43,4
0,35,0,0.435,1
3,9,0,0.435,4
3,65,0,0.0364,4
0,0,0,0.0364,4
0,7,8,0.136,3
0,225,0,0.435,1
4,1104,1105,43,2
1,512,2393,6.82,4
0,97,804,6.82,2
4,330,0,0.0364,3
3,749,0,0.435,1
1,3532,0,0.435,4
1,19,148,6.82,4
3,68,0,0.435,1
3,411,1303,1.43,4
4,0,1,0.136,4
0,3348,0,43,2
0,9,16,0.136,1
3,1179,0,0.136,1
3,9,11,0.136,4
0,6,32,0.136,3
2,219,1129,6.82,1
0,6,19,0.136,4
3,1,8,0.136,3
2,5,160,6.82,4
0,0,1,0.0364,2
0,24,172,6.82,4
3,10,0,0.435,2
0,25,0,0.0364,2
0,2,5,0.435,1
0,295,328,43,2
3,1436,1814,43,1
0,0,0,0.0364,2
3,2,0,0.435,2
4,7,10,0.136,4
4,3,7,0.136,3
3,175,0,43,4
0,254,1850,6.82,4
0,0,1,0.136,2
3,285,0,0.0364,4
2,13,0,0.435,1
3,12,0,0.136,2
1,1164,0,0.435,4
0,6,0,0.136,1
3,182,756,43,1
0,654,4456,43,4
3,4333,16574,43,2
0,5,12,0.136,4
3,0,6,1.43,3
0,6111,16088,43,2
4,129,399,43,2
3,0,1,0.0364,4
0,664,0,43,2
0,46,181,0.435,1
3,2,3,0.136,4
0,13,0,0.435,4
4,5,0,0.0364,4
0,17,0,1.43,3
0,9,0,0.136,1
0,70,0,6.82,1
3,0,0,1.43,2
2,1,12,1.43,2
4,0,0,0.0364,4
0,2,15,0.136,3
1,0,6,6.82,3
3,0,1,0.136,2
3,580,353,43,2
1,214,0,0.435,3
3,422,4820,43,2
3,1,13,0.0364,4
3,2109,0,1.43,1
3,1065,6764,6.82,4
1,2579,0,0.435,1
3,42,0,0.0364,4
4,16,0,1.43,2
2,0,9,1.43,2
2,279,310,43,4
1,21,38,1.43,4
3,11,45,1.43,4
4,0,1,0.136,4
1,0,43,6.82,4
3,0,1,0.0364,4
3,8,14,0.136,2
4,659,5324,43,1
2,71,0,0.435,3
0,48,135,0.435,2
0,13,31,0.136,1
3,23,0,0.435,1
1,3894,13811,6.82,3
0,593,1348,0.435,4
3,15,39,0.435,1
0,15504,38861,43,2
