date,retweet_count,favorite_count,followers_count,predict_class_label
2018-09-21 03:28:54,5356,65310,10,2
2018-09-18 09:13:12,5309,64853,10,2
2018-09-18 04:11:57,1569,22099,10,2
2018-09-17 12:52:38,6378,78649,10,1
2018-09-06 14:38:01,3009,49988,10,4
2018-09-05 11:41:41,4548,46272,10,4
2018-08-31 19:05:58,7121,108233,10,2
2018-08-29 07:43:33,1658,25818,10,2
2018-08-28 16:23:10,3119,36040,10,2
2018-08-26 13:37:58,5351,94314,10,2
2018-08-24 16:56:48,7673,144345,10,1
2018-08-23 18:52:50,2705,64820,10,2
2018-08-23 15:17:06,1612,21749,10,2
2018-08-22 11:46:10,11789,127695,10,2
2018-08-17 15:11:14,11625,103496,10,4
2018-08-16 18:17:23,2981,56589,10,2
2018-08-16 15:41:27,7570,70292,10,2
2018-08-16 12:53:55,1119,17853,10,2
2018-08-15 07:34:57,1986,31590,10,4
2018-08-08 07:33:09,157,1757,10,4
2018-08-07 17:04:02,1027,0,10,2
2018-08-07 17:03:41,163,1769,10,4
2018-08-06 15:43:38,2075,34562,10,4
2018-08-06 09:47:22,1031,14602,10,2
2018-08-05 16:28:21,7969,149388,10,2
2018-07-31 12:17:53,3257,55837,10,2
2018-07-29 17:22:34,7642,150376,10,2
2018-07-23 09:01:14,1638,27706,10,2
2018-07-20 20:51:56,6047,135643,10,2
2018-07-19 16:21:17,6690,148158,10,1
2018-07-16 17:48:16,11596,90598,10,4
2018-07-13 10:53:02,6952,81656,10,2
2018-07-10 16:04:56,6101,117881,10,2
2018-07-09 09:52:56,529,0,10,2
2018-07-08 17:34:31,10274,117694,10,2
2018-07-07 11:19:41,14117,174726,10,4
2018-07-05 09:58:17,5910,81030,10,2
2018-07-04 08:12:15,4826,94606,10,2
2018-07-03 08:31:17,2779,48826,10,2
2018-07-02 08:04:38,1942,33571,10,4
2018-06-30 17:30:07,3214,78541,10,2
2018-06-30 07:37:45,1244,15915,10,2
2018-06-28 12:46:35,3590,80766,10,1
2018-06-26 09:56:30,945,0,10,2
2018-06-26 09:16:52,3982,81710,10,2
2018-06-25 06:53:21,1036,15998,10,2
2018-06-24 07:54:05,1620,27557,10,4
2018-06-23 07:34:49,6949,105686,10,4
2018-06-21 11:48:03,1316,22672,10,2
2018-06-19 15:19:16,1266,23749,10,2
2018-06-19 07:05:48,2764,47993,10,4
2018-06-19 04:34:47,895,15142,10,2
2018-06-18 11:39:18,2085,28661,10,2
2018-06-18 10:25:29,1306,19793,10,2
2018-06-18 04:32:12,1708,23790,10,2
2018-06-17 12:44:59,2906,39266,10,2
2018-06-16 15:01:05,1584,15606,10,1
2018-06-16 11:59:45,5964,44417,10,4
2018-06-16 11:45:43,22177,129738,10,1
2018-06-15 17:25:50,1327,15979,10,2
2018-06-14 13:48:25,1731,18492,10,2
2018-06-11 14:46:57,3831,58177,10,2
2018-06-11 09:04:45,4680,56920,10,2
2018-06-10 06:19:36,1517,20743,10,4
