,created_at,text,retweet_count,favorite_count,class_predict,followers_count,predict_class_label
0,2019-02-07 10:20:18,rt  the  is one impressive machine! nothing to fault and it will give the competition a tough time xf0 x9f x98 x8e read a xe2 x80 xa6',16,0,sports,6.82,2
1,2019-02-07 04:26:37,rt  an absolutely incredible story  i owe my  whatsappwonderbox to him  he xe2 x80 x99s now worth over  10bn   but life is bittersweet  xe2 x80 xa6',1297,0,sports,6.82,2
2,2019-02-07 04:25:19,the 360 xc2 xb0 perspective is a great metaphor for kabir xe2 x80 x99s holistic perspective on life  amp  its meaning    nclick on the pic xe2 x80 xa6 ,20,186,business,6.82,3
3,2019-02-07 04:14:03,hell xe2 x80 x99s  xe2 x80 x98farishteys xe2 x80 x99     ,41,378,world,6.82,1
4,2019-02-06 18:23:07,rt  our xuv300 video review has over 110k views in 10 hours  amp  is trending on  xe2 x81 xa6 reflects how immensely popular co xe2 x80 xa6',51,0,business,6.82,3
5,2019-02-06 12:53:29,an absolutely incredible story  i owe my  whatsappwonderbox to him  he xe2 x80 x99s now worth over  10bn   but life is bitters xe2 x80 xa6 ,1297,4044,sports,6.82,2
6,2019-02-06 08:30:50,the wait was worth it    ,36,316,sports,6.82,2
7,2019-02-06 08:27:11,"even as we bask in the glory of these awards, we xe2 x80 x99re more interested in what you all think of the videos    ",18,180,tech,6.82,4
8,2019-02-06 08:17:38,"rt   marazzo is india's safest  mpv with a 4 star rating from global ncap and ranks  2 on the overall safety score amongst xe2 x80 xa6""",32,0,sports,6.82,2
9,2019-02-06 04:13:21,i xe2 x80 x99m now losing track of the number of launches by  isro that is a true sign of excellence  to make your very comple xe2 x80 xa6 ,1000,5130,tech,6.82,4
10,2019-02-06 03:58:00,"rt  popularly known as  xe2 x80 x98bacha khan xe2 x80 x99  amp   xe2 x80 x98frontier gandhi xe2 x80 x99, khan abdul ghaffar khan was a pashtun  amp  a staunch gandhian  he esta xe2 x80 xa6'",104,0,business,6.82,3
11,2019-02-06 02:43:59,rt  i xe2 x80 x99ve been helping to baby sit my year old grandson this past week  amp  it xe2 x80 x99s brought home to me the stark reality of this im xe2 x80 xa6',8807,0,tech,6.82,4
12,2019-02-06 02:27:27,"rt    posted a strong q3 earnings  profit rose 13  to a little over rs 1,200 cr, surpassing analysts expectations  xe2 x80 xa6'",29,0,business,6.82,3
13,2019-02-05 14:09:39,the mahindra blues is this weekend    but tech mahindra showed no sign of the blues in its results   ,38,361,business,6.82,3
14,2019-02-05 14:05:18,now this is the real  xe2 x80 x98brew! xe2 x80 x99 ,51,398,tech,6.82,4
15,2019-02-05 06:45:12,i xe2 x80 x99ve been helping to baby sit my year old grandson this past week  amp  it xe2 x80 x99s brought home to me the stark reality of th xe2 x80 xa6 ,8807,29505,tech,6.82,4
16,2019-02-05 04:41:48,"i look forward, every year, to the new edition of the  mahindrablues poster  a collector xe2 x80 x99s item  we should, at some xe2 x80 xa6 ",23,248,sports,6.82,2
17,2019-02-05 04:05:35,rt  this pic is brimming with potential for a hilarious comment or caption  haven xe2 x80 x99t had a caption competition for a while  s xe2 x80 xa6',1031,0,tech,6.82,4
18,2019-02-05 04:04:13,"rt  the big news is here! watch  (festival director) and  (vice president, head   cultural outr xe2 x80 xa6'",18,0,world,6.82,1
19,2019-02-04 14:27:37, xf0 x9f x98 x81 xf0 x9f x98 x81 xf0 x9f x98 x81 ,181,1543,sports,6.82,2
20,2019-02-04 14:03:35,"no, a mahindra partners (private equity division of  ) investment   ",14,102,business,6.82,3
21,2019-02-04 14:01:54,this pic is brimming with potential for a hilarious comment or caption  haven xe2 x80 x99t had a caption competition for a whi xe2 x80 xa6 ,1031,6778,tech,6.82,4
22,2019-02-04 13:54:28,"(1 2) we incubated the babycare retail chain mom amp me, then acquired babyoye  amp  then consolidated it with xe2 x80 xa6 ",84,631,business,6.82,3
23,2019-02-04 13:54:20,"(2 2) this investment by softbank illustrates how a conventional,  xe2 x80 x98old xe2 x80 x99 corporation like ours, can also follow the xe2 x80 xa6 ",44,245,tech,6.82,4
24,2019-02-04 05:08:07,baaz  my alturas g4  ,25,245,tech,6.82,4
25,2019-02-04 05:05:21,the car (thar) in front of me on the way to work today  reminded me that thar ites know how to live a life that is xe2 x80 xa6 ,153,3015,tech,6.82,4
26,2019-02-04 03:33:42,thank you  whatsappwonderbox for your timely messages    nhere xe2 x80 x99s wishing you a strong week in which you find  xe2 x80 x98ways xe2 x80 x99 xe2 x80 xa6 ,386,2289,tech,6.82,4
27,2019-02-03 16:16:44,rt  an idea whose time has come  what xe2 x80 x99s significant is that its viability is driven by the desire of customers to choose rec xe2 x80 xa6',1847,0,tech,6.82,4
28,2019-02-03 13:51:25,"a sighting! this makes my day because the image we want, no matter which mahindra model we sell, is that we build t xe2 x80 xa6 ",61,690,tech,6.82,4
29,2019-02-03 13:49:04,and we believe we have a  xe2 x80 x98lift off xe2 x80 x99 moment in south africa  a country to which we have demonstrated our commitment   ,49,277,world,6.82,1
30,2019-02-03 09:04:16,an idea whose time has come  what xe2 x80 x99s significant is that its viability is driven by the desire of customers to choos xe2 x80 xa6 ,1847,6095,tech,6.82,4
31,2019-02-03 06:49:14,"rt  give your desk a dash of adventure, and your colleagues something to talk about! get the mahindra thar scale model here  xe2 x80 xa6'",29,0,tech,6.82,4
32,2019-02-03 04:31:41,"this happened a while ago, but i had not shared it right away  sunday is a day for reflection but also for celebrat xe2 x80 xa6 ",117,950,sports,6.82,2
33,2019-02-02 14:48:25,rt  for your weekend viewing pleasure    when we think of stretching the potential of our bodies we think of sports   but th xe2 x80 xa6',1007,0,sports,6.82,2
34,2019-02-02 13:50:23,a new look  amp  feel inevitably leads to a new trajectory    here xe2 x80 x99s looking forward to a new orbit for  ,50,545,sports,6.82,2
35,2019-02-02 13:47:23,your emotions are driving our aspirations   ,51,967,tech,6.82,4
36,2019-02-02 07:33:25,for your weekend viewing pleasure    when we think of stretching the potential of our bodies we think of sports   b xe2 x80 xa6 ,1007,4146,sports,6.82,2
37,2019-02-02 05:22:40,"as we expand globally, we want to embed our roots even more deeply in each market    tomorrow xe2 x80 x99s transnational compa xe2 x80 xa6 ",70,624,tech,6.82,4
38,2019-02-02 04:22:55,"rt  india's cv industry just turned more exciting  mahindra  amp  mahindra has entered the intermediate cv market with the new furi xe2 x80 xa6""",65,0,tech,6.82,4
39,2019-02-01 13:13:57,"rt  between feb 1 and 5, 2019,  festival will be bringing communities closer with this year's theme 'husn e karigar xe2 x80 xa6""",18,0,tech,6.82,4
40,2019-02-01 08:32:33,"i was bracing for a populist,profligate budget driven by  xe2 x80 x98election panic  xe2 x80 x99  i xe2 x80 x99m just grateful that the reliefs to t xe2 x80 xa6 ",4915,16626,world,6.82,1
41,2019-02-01 07:26:46,"before any discussion on the numbers around the budget, it xe2 x80 x99s clear that if anyone were to ask  xe2 x80 x98how high was piyush xe2 x80 xa6 ",1097,5459,sports,6.82,2
42,2019-02-01 04:07:47,well done   xe0 xa4 x85 xe0 xa4 x97 xe0 xa4 xb0 k c mahindra education trust  xe0 xa4 x86 xe0 xa4 xaa xe0 xa4 x95 xe0 xa4 xbe  xe0 xa4 xb8 xe0 xa4 xae xe0 xa4 xb0 xe0 xa5 x8d xe0 xa4 xa5 xe0 xa4 xa8  xe0 xa4 x95 xe0 xa4 xb0  xe0 xa4 xb8 xe0 xa4 x95 xe0 xa5 x87 xe0 xa4 x82  xe0 xa4 xa4 xe0 xa5 x8b  xe0 xa4 xaf xe0 xa5 x87  xe0 xa4 xb9 xe0 xa4 xae xe0 xa4 xbe xe0 xa4 xb0 xe0 xa5 x87  xe0 xa4 xb2 xe0 xa4 xbf xe0 xa4 x8f  xe0 xa4 x97 xe0 xa4 xb0 xe0 xa5 x8d xe0 xa4 xb5  xe0 xa4 x95 xe0 xa5 x80  xe0 xa4 xac xe0 xa4 xbe xe0 xa4 xa4  xe0 xa4 xb9 xe0 xa5 x8b xe0 xa4 x97 xe0 xa5 x80 xe0 xa5 xa4 ,17,208,tech,6.82,4
43,2019-02-01 03:17:53,we just offered to take our new furio truck back if it didn xe2 x80 x99t meet expectations  but this is far more impactful!whe xe2 x80 xa6 ,499,2340,tech,6.82,4
44,2019-01-31 15:44:06,"rt  yes, finally, shiny new tech toys are adding enormous value to society  manoj, how can we acquire some of these tree pla xe2 x80 xa6'",850,0,tech,6.82,4
45,2019-01-31 12:27:57,"and even if you don xe2 x80 x99t participate, check out the photo entries  they constitute an incredible montage of india ",23,172,tech,6.82,4
46,2019-01-31 12:25:57,the logic is inescapable    ,47,279,tech,6.82,4
47,2019-01-31 11:48:50,prepare to be a little surprised at one of the names that shows up here    ,107,1058,tech,6.82,4
48,2019-01-31 04:02:49,good thought   ? ,28,291,sports,6.82,2
49,2019-01-31 03:54:48,"rt  from tomorrow, 1st february,  epicchannel will be available on cable ntv and dth for just rs  2 per month per subscriber  xe2 x80 xa6'",19,0,business,6.82,3
50,2019-01-31 03:51:17,"yes, finally, shiny new tech toys are adding enormous value to society  manoj, how can we acquire some of these tre xe2 x80 xa6 ",850,3030,tech,6.82,4
51,2019-01-30 13:28:15,"yes, i repeat the promise    xe2 x80 x9czyaada profit nahin to truck wapas    xe2 x80 x9d you make more profit or you can return the truc xe2 x80 xa6 ",342,2577,business,6.82,3
52,2019-01-30 13:24:14,"not too long now   a small step, but an important one in the right direction to make our capital a healthier place  xe2 x80 xa6 ",80,538,sports,6.82,2
53,2019-01-30 13:22:26,rt  i xe2 x80 x99m certainly going to think twice about visiting this restaurant with my wife   don xe2 x80 x99t want her getting any creative ide xe2 x80 xa6',1375,0,sports,6.82,2
54,2019-01-30 05:18:35,i xe2 x80 x99m certainly going to think twice about visiting this restaurant with my wife   don xe2 x80 x99t want her getting any creativ xe2 x80 xa6 ,1375,9648,sports,6.82,2
55,2019-01-30 05:07:47,rt  mahatma gandhi wanted a clean india as much as he wanted an independent india  this was a belief that he held till the e xe2 x80 xa6',60,0,world,6.82,1
56,2019-01-30 03:56:00,"rt  two great minds met halfway  then, the journey began  nwhen  enzoferrari and  battista  pininfarina met at a midway tow xe2 x80 xa6'",20,0,sports,6.82,2
57,2019-01-30 03:42:11,rt  proud to announce the winning band for 2019! catch them live feb 9 10 at the mahindra blues festival! n bigbluesbandhunt   xe2 x80 xa6',13,0,sports,6.82,2
58,2019-01-29 16:26:35,i don xe2 x80 x99t think i can use these terms ever again without guffawing    (mercifully i don xe2 x80 x99t know think i ever used  xe2 x80 x98dea xe2 x80 xa6 ,172,1999,tech,6.82,4
59,2019-01-29 10:36:32,"rt  started my career in our group xe2 x80 x99s specialty steel company musco we looked up to the japanese steel companies as gods, ast xe2 x80 xa6'",1255,0,business,6.82,3
60,2019-01-29 07:37:43,"rt  the new  mahindrafurio comes with a lower rake angle windshield thus allowing lesser sunlight to enter cabin, with increase xe2 x80 xa6'",14,0,tech,6.82,4
61,2019-01-29 07:36:55,and that xe2 x80 x99s today    join  as he presents a blockbuster    ,101,739,world,6.82,1
