,created_at,text,retweet_count,favorite_count,class_predict,followers_count,predict_class_label
0,2019-02-07 05:10:14,major s o my  squad!!! saw that  xf0 x9f x94 xa5 xf0 x9f x94 xa5 xf0 x9f x94 xa5 xf0 x9f x94 xa5 xf0 x9f x94 xa5 xf0 x9f x94 xa5 that came y xe2 x80 x99all way today  you already know how we get down  take xe2 x80 xa6 ,1230,10800,sports,43,2
1,2019-02-07 01:10:18, xf0 x9f x94 xa5 xf0 x9f x94 xa5 xf0 x9f x94 xa5 xf0 x9f x94 xa5 xf0 x9f x94 xa5 xf0 x9f x94 xa5 xf0 x9f x94 xa5 xf0 x9f x91 x91  striveforgreatness xf0 x9f x9a x80 ,7064,43982,sports,43,2
2,2019-02-07 00:45:14,rt  happy national girls and women in sports day!  xf0 x9f xa4 xba xe2 x9b xb9 xf0 x9f x8f xbe xe2 x80 x8d xe2 x99 x80 xef xb8 x8f xf0 x9f x8f x8b xef xb8 x8f xe2 x80 x8d xe2 x99 x80 xef xb8 x8f  n nwe xe2 x80 x99ve had some pretty amazing  amp  inspirational women in spor xe2 x80 xa6',232,0,sports,43,2
3,2019-02-07 00:44:58,i know you are kid and that xe2 x80 x99s why i love you leeshawn!!  xf0 x9f x99 x8f xf0 x9f x8f xbe xe2 x9d xa4 xef xb8 x8f xf0 x9f x91 x91 ,2797,36589,tech,43,4
4,2019-02-05 21:51:23,yo  man what xe2 x80 x99s going on here?!?!?!  xf0 x9f xa4 xa6 xf0 x9f x8f xbe xe2 x80 x8d xe2 x99 x82 xef xb8 x8f  talk to me please!  xf0 x9f xa4 xa1  xe2 x80 x98s coming a city near you ,749,5890,sports,43,2
5,2019-02-05 21:50:05,"rt  congratulations to  one of  330 ambassadors, on his commitment to gannon university  xe2 x9a x94 xef xb8 x8f we are ve xe2 x80 xa6'",64,0,sports,43,2
6,2019-02-05 21:49:58,rt    happy birthday ms  james  xe2 x98 xba xef xb8 x8f xe2 x9d xa4 xef xb8 x8f',82,0,sports,43,2
7,2019-02-05 18:45:26,mama!!!!!! happy birthday queen of queens gloria marie james!!! love love love everyday all day on the earth and be xe2 x80 xa6 ,3083,35662,sports,43,2
8,2019-02-04 21:35:52,"then to the game  at the end of the day yes we all wanted more fireworks, points, etc etc but as a competitor and f xe2 x80 xa6 ",7555,68486,sports,43,2
9,2019-02-04 21:32:25,recap of super bowl sunday  the commercials were pretty good(nfl 100 spot and  spot tops the chart)  xe2 x80 xa6 ,1382,21382,sports,43,2
10,2019-02-04 03:13:00,brady the  xf0 x9f x90 x90!!  xf0 x9f x92 x8d xf0 x9f x92 x8d xf0 x9f x92 x8d xf0 x9f x92 x8d xf0 x9f x92 x8d xf0 x9f x92 x8d ',56390,241346,sports,43,2
11,2019-02-04 01:51:07,"man where shams, woj, haynes, mcmenamin at????      xf0 x9f xa4 xb7 xf0 x9f x8f xbe xe2 x80 x8d xe2 x99 x82 xef xb8 x8f'",20680,88386,world,43,1
12,2019-02-04 01:21:04,that xe2 x80 x99s was amazing!!! got me so hyped i wanted to be in it too! kudos  xf0 x9f x91 x8f xf0 x9f x8f xbe ,17992,117035,sports,43,2
13,2019-02-04 01:17:59,me next year at halftime show! not!!  xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 ,13295,71243,sports,43,2
14,2019-02-04 01:16:00,soooooooo       this halftime show though  that xe2 x80 x99s all for travis or nah?!?!?!  xf0 x9f xa4 xa8',15333,97868,tech,43,4
15,2019-02-04 00:58:30, is here!!!  xf0 x9f x8f x83 xf0 x9f x8f xbe xe2 x80 x8d xe2 x99 x82 xef xb8 x8f xf0 x9f x8f x83 xf0 x9f x8f xbe xe2 x80 x8d xe2 x99 x80 xef xb8 x8f xf0 x9f x92 xa8 xf0 x9f x92 xa8 who xe2 x80 x99s ready to run?!     ,125,559,sports,43,2
